Designator,Mid X,Mid Y,Rotation,Layer
C1,144.5,-70.7,90.0,top
C10,144.25,-86.0,180.0,top
C11,147.0,-85.0,90.0,top
C12,143.4,-88.75,270.0,top
C2,139.1,-69.5,270.0,top
C3,137.4,-88.75,90.0,top
C4,139.1,-88.75,270.0,top
C5,136.5,-85.0,90.0,top
C6,144.25,-84.25,180.0,top
C7,136.5,-81.9,270.0,top
C8,147.05,-76.7,90.0,top
C9,136.5,-73.25,90.0,top
FB1,136.5,-76.4875,90.0,top
J1,142.10395,-94.95,0.0,top
R1,136.5,-69.5,90.0,top
SW1,150.5,-96.0,270.0,top
SW2,133.0,-96.0,90.0,top
U1,141.75,-76.25,0.0,top
U3,141.25,-88.75,270.0,top
U4,146.45,-88.95,0.0,top
Y1,141.8,-70.1,270.0,top
